Job Interview, Insult, One-Liner
Animal, Silly Twist, Punchline
Politics, Insult, Offensive
Politics, One-Liner, Silly
Chuck Norris, Meme, One-Liner
Pop-Culture (24), Meme, One-Liner
Religion, Offensive, Dark/Irreverent
Dark/Offensive, Religion, Twist
Animal, Heroic Pig, Humor
Blonde Joke, Dark Humor, Punchline
National Stereotypes, Work Culture, Offensive
Shopping, Crowd, Punchline
Profession Stereotype, Heaven/Gates, Punchline
Politics, Family, One-Liner
Politics, Translation/Language, Humor
